pokemon,ability,is_hidden,slot,description
nidoqueen,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
nidoran-m,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
nidoran-m,Rivalry,No,2,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
nidoran-m,Hustle,Yes,3,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
nidorino,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
nidorino,Rivalry,No,2,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
nidorino,Hustle,Yes,3,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
nidoking,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
nidoking,Rivalry,No,2,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
nidoking,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
clefairy,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
clefairy,Magic Guard,No,2,Protects against damage not directly caused by a move.
clefairy,Friend Guard,Yes,3,Decreases all direct damage taken by friendly Pokémon to 0.75×.
clefable,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
clefable,Magic Guard,No,2,Protects against damage not directly caused by a move.
clefable,Unaware,Yes,3,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
vulpix,Flash Fire,No,1,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
vulpix,Drought,Yes,3,Summons strong sunlight that lasts indefinitely upon entering battle.
ninetales,Flash Fire,No,1,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
ninetales,Drought,Yes,3,Summons strong sunlight that lasts indefinitely upon entering battle.
jigglypuff,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
jigglypuff,Competitive,No,2,Raises Special Attack by two stages upon having any stat lowered.
jigglypuff,Friend Guard,Yes,3,Decreases all direct damage taken by friendly Pokémon to 0.75×.
wigglytuff,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
wigglytuff,Competitive,No,2,Raises Special Attack by two stages upon having any stat lowered.
wigglytuff,Frisk,Yes,3,Reveals an opponent's held item upon entering battle.
zubat,Inner Focus,No,1,Prevents flinching.
zubat,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
golbat,Inner Focus,No,1,Prevents flinching.
golbat,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
oddish,Chlorophyll,No,1,Doubles Speed during strong sunlight.
oddish,Run Away,Yes,3,Ensures success fleeing from wild battles.
gloom,Chlorophyll,No,1,Doubles Speed during strong sunlight.
gloom,Stench,Yes,3,Has a 10% chance of making target Pokémon flinch with each hit.
vileplume,Chlorophyll,No,1,Doubles Speed during strong sunlight.
vileplume,Effect Spore,Yes,3,"Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact."
paras,Effect Spore,No,1,"Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact."
paras,Dry Skin,No,2,"Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP."
paras,Damp,Yes,3,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
parasect,Effect Spore,No,1,"Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact."
parasect,Dry Skin,No,2,"Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP."
parasect,Damp,Yes,3,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
venonat,Compound Eyes,No,1,Increases moves' accuracy to 1.3×.
venonat,Tinted Lens,No,2,Doubles damage inflicted with not-very-effective moves.
venonat,Run Away,Yes,3,Ensures success fleeing from wild battles.
venomoth,Shield Dust,No,1,Protects against incoming moves' extra effects.
venomoth,Tinted Lens,No,2,Doubles damage inflicted with not-very-effective moves.
venomoth,Wonder Skin,Yes,3,Lowers incoming non-damaging moves' base accuracy to exactly 50%.
diglett,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
diglett,Arena Trap,No,2,Prevents opponents from fleeing or switching out.  Eluded by flying-types and Pokémon in the air.
diglett,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
dugtrio,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
dugtrio,Arena Trap,No,2,Prevents opponents from fleeing or switching out.  Eluded by flying-types and Pokémon in the air.
dugtrio,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
meowth,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
meowth,Technician,No,2,Strengthens moves of 60 base power or less to 1.5× their power.
meowth,Unnerve,Yes,3,Prevents opposing Pokémon from eating held Berries.
persian,Limber,No,1,Prevents paralysis.
persian,Technician,No,2,Strengthens moves of 60 base power or less to 1.5× their power.
persian,Unnerve,Yes,3,Prevents opposing Pokémon from eating held Berries.
psyduck,Damp,No,1,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
psyduck,Cloud Nine,No,2,"Negates all effects of weather, but does not prevent the weather itself."
psyduck,Swift Swim,Yes,3,Doubles Speed during rain.
golduck,Damp,No,1,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
golduck,Cloud Nine,No,2,"Negates all effects of weather, but does not prevent the weather itself."
golduck,Swift Swim,Yes,3,Doubles Speed during rain.
mankey,Vital Spirit,No,1,Prevents sleep.
mankey,Anger Point,No,2,Raises Attack to the maximum of six stages upon receiving a critical hit.
mankey,Defiant,Yes,3,Raises Attack two stages upon having any stat lowered.
primeape,Vital Spirit,No,1,Prevents sleep.
primeape,Anger Point,No,2,Raises Attack to the maximum of six stages upon receiving a critical hit.
primeape,Defiant,Yes,3,Raises Attack two stages upon having any stat lowered.
growlithe,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
growlithe,Flash Fire,No,2,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
growlithe,Justified,Yes,3,Raises Attack one stage upon taking damage from a dark move.
arcanine,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
arcanine,Flash Fire,No,2,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
arcanine,Justified,Yes,3,Raises Attack one stage upon taking damage from a dark move.
poliwag,Water Absorb,No,1,"Absorbs water moves, healing for 1/4 max HP."
poliwag,Damp,No,2,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
poliwag,Swift Swim,Yes,3,Doubles Speed during rain.
poliwhirl,Water Absorb,No,1,"Absorbs water moves, healing for 1/4 max HP."
poliwhirl,Damp,No,2,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
poliwhirl,Swift Swim,Yes,3,Doubles Speed during rain.
poliwrath,Water Absorb,No,1,"Absorbs water moves, healing for 1/4 max HP."
poliwrath,Damp,No,2,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
poliwrath,Swift Swim,Yes,3,Doubles Speed during rain.
abra,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
abra,Inner Focus,No,2,Prevents flinching.
abra,Magic Guard,Yes,3,Protects against damage not directly caused by a move.
kadabra,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
kadabra,Inner Focus,No,2,Prevents flinching.
kadabra,Magic Guard,Yes,3,Protects against damage not directly caused by a move.
alakazam,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
alakazam,Inner Focus,No,2,Prevents flinching.
alakazam,Magic Guard,Yes,3,Protects against damage not directly caused by a move.
machop,Guts,No,1,Increases Attack to 1.5× with a major status ailment.
machop,No Guard,No,2,Ensures all moves used by and against the Pokémon hit.
machop,Steadfast,Yes,3,Raises Speed one stage upon flinching.
machoke,Guts,No,1,Increases Attack to 1.5× with a major status ailment.
machoke,No Guard,No,2,Ensures all moves used by and against the Pokémon hit.
machoke,Steadfast,Yes,3,Raises Speed one stage upon flinching.
machamp,Guts,No,1,Increases Attack to 1.5× with a major status ailment.
machamp,No Guard,No,2,Ensures all moves used by and against the Pokémon hit.
machamp,Steadfast,Yes,3,Raises Speed one stage upon flinching.
bellsprout,Chlorophyll,No,1,Doubles Speed during strong sunlight.
bellsprout,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
weepinbell,Chlorophyll,No,1,Doubles Speed during strong sunlight.
weepinbell,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
victreebel,Chlorophyll,No,1,Doubles Speed during strong sunlight.
victreebel,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
tentacool,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
tentacool,Liquid Ooze,No,2,Damages opponents using leeching moves for as much as they would heal.
tentacool,Rain Dish,Yes,3,Heals for 1/16 max HP after each turn during rain.
tentacruel,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
tentacruel,Liquid Ooze,No,2,Damages opponents using leeching moves for as much as they would heal.
tentacruel,Rain Dish,Yes,3,Heals for 1/16 max HP after each turn during rain.
geodude,Rock Head,No,1,Protects against recoil damage.
geodude,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
geodude,Sand Veil,Yes,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
graveler,Rock Head,No,1,Protects against recoil damage.
graveler,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
graveler,Sand Veil,Yes,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
golem,Rock Head,No,1,Protects against recoil damage.
golem,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
golem,Sand Veil,Yes,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
ponyta,Run Away,No,1,Ensures success fleeing from wild battles.
ponyta,Flash Fire,No,2,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
ponyta,Flame Body,Yes,3,Has a 30% chance of burning attacking Pokémon on contact.
rapidash,Run Away,No,1,Ensures success fleeing from wild battles.
rapidash,Flash Fire,No,2,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
rapidash,Flame Body,Yes,3,Has a 30% chance of burning attacking Pokémon on contact.
slowpoke,Oblivious,No,1,Prevents infatuation and protects against captivate.
slowpoke,Own Tempo,No,2,Prevents confusion.
slowpoke,Regenerator,Yes,3,Heals for 1/3 max HP upon switching out.
slowbro,Oblivious,No,1,Prevents infatuation and protects against captivate.
slowbro,Own Tempo,No,2,Prevents confusion.
slowbro,Regenerator,Yes,3,Heals for 1/3 max HP upon switching out.
magnemite,Magnet Pull,No,1,Prevents steel opponents from fleeing or switching out.
magnemite,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
magnemite,Analytic,Yes,3,Strengthens moves to 1.3× their power when moving last.
magneton,Magnet Pull,No,1,Prevents steel opponents from fleeing or switching out.
magneton,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
magneton,Analytic,Yes,3,Strengthens moves to 1.3× their power when moving last.
farfetchd,Keen Eye,No,1,Prevents accuracy from being lowered.
farfetchd,Inner Focus,No,2,Prevents flinching.
farfetchd,Defiant,Yes,3,Raises Attack two stages upon having any stat lowered.
doduo,Run Away,No,1,Ensures success fleeing from wild battles.
doduo,Early Bird,No,2,Makes sleep pass twice as quickly.
doduo,Tangled Feet,Yes,3,Doubles evasion when confused.
dodrio,Run Away,No,1,Ensures success fleeing from wild battles.
dodrio,Early Bird,No,2,Makes sleep pass twice as quickly.
dodrio,Tangled Feet,Yes,3,Doubles evasion when confused.
seel,Thick Fat,No,1,Halves damage from fire and ice moves.
seel,Hydration,No,2,Cures any major status ailment after each turn during rain.
seel,Ice Body,Yes,3,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
dewgong,Thick Fat,No,1,Halves damage from fire and ice moves.
dewgong,Hydration,No,2,Cures any major status ailment after each turn during rain.
dewgong,Ice Body,Yes,3,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
grimer,Stench,No,1,Has a 10% chance of making target Pokémon flinch with each hit.
grimer,Sticky Hold,No,2,Prevents a held item from being removed by other Pokémon.
grimer,Poison Touch,Yes,3,Has a 30% chance of poisoning target Pokémon upon contact.
muk,Stench,No,1,Has a 10% chance of making target Pokémon flinch with each hit.
muk,Sticky Hold,No,2,Prevents a held item from being removed by other Pokémon.
muk,Poison Touch,Yes,3,Has a 30% chance of poisoning target Pokémon upon contact.
shellder,Shell Armor,No,1,Protects against critical hits.
shellder,Skill Link,No,2,Extends two-to-five-hit moves and triple kick to their full length every time.
shellder,Overcoat,Yes,3,Protects against damage from weather.
cloyster,Shell Armor,No,1,Protects against critical hits.
cloyster,Skill Link,No,2,Extends two-to-five-hit moves and triple kick to their full length every time.
cloyster,Overcoat,Yes,3,Protects against damage from weather.
gastly,Levitate,No,1,Evades ground moves.
haunter,Levitate,No,1,Evades ground moves.
gengar,Cursed Body,No,1,Has a 30% chance of Disabling any move that hits the Pokémon.
onix,Rock Head,No,1,Protects against recoil damage.
onix,Sturdy,No,2,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
onix,Weak Armor,Yes,3,Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
drowzee,Insomnia,No,1,Prevents sleep.
drowzee,Forewarn,No,2,Reveals the opponents' strongest move upon entering battle.
drowzee,Inner Focus,Yes,3,Prevents flinching.
hypno,Insomnia,No,1,Prevents sleep.
hypno,Forewarn,No,2,Reveals the opponents' strongest move upon entering battle.
hypno,Inner Focus,Yes,3,Prevents flinching.
krabby,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
krabby,Shell Armor,No,2,Protects against critical hits.
krabby,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
kingler,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
kingler,Shell Armor,No,2,Protects against critical hits.
kingler,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
voltorb,Soundproof,No,1,Protects against sound-based moves.
voltorb,Static,No,2,Has a 30% chance of paralyzing attacking Pokémon on contact.
voltorb,Aftermath,Yes,3,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
electrode,Soundproof,No,1,Protects against sound-based moves.
electrode,Static,No,2,Has a 30% chance of paralyzing attacking Pokémon on contact.
electrode,Aftermath,Yes,3,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
exeggcute,Chlorophyll,No,1,Doubles Speed during strong sunlight.
exeggcute,Harvest,Yes,3,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
exeggutor,Chlorophyll,No,1,Doubles Speed during strong sunlight.
exeggutor,Harvest,Yes,3,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
cubone,Rock Head,No,1,Protects against recoil damage.
cubone,Lightning Rod,No,2,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
cubone,Battle Armor,Yes,3,Protects against critical hits.
marowak,Rock Head,No,1,Protects against recoil damage.
marowak,Lightning Rod,No,2,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
marowak,Battle Armor,Yes,3,Protects against critical hits.
hitmonlee,Limber,No,1,Prevents paralysis.
hitmonlee,Reckless,No,2,Strengthens recoil moves to 1.2× their power.
hitmonlee,Unburden,Yes,3,Doubles Speed upon using or losing a held item.
hitmonchan,Keen Eye,No,1,Prevents accuracy from being lowered.
hitmonchan,Iron Fist,No,2,Strengthens punch-based moves to 1.2× their power.
hitmonchan,Inner Focus,Yes,3,Prevents flinching.
lickitung,Own Tempo,No,1,Prevents confusion.
lickitung,Oblivious,No,2,Prevents infatuation and protects against captivate.
lickitung,Cloud Nine,Yes,3,"Negates all effects of weather, but does not prevent the weather itself."
koffing,Levitate,No,1,Evades ground moves.
koffing,Neutralizing Gas,No,2,Neutralizes abilities of all Pokémon in battle.
koffing,Stench,Yes,3,Has a 10% chance of making target Pokémon flinch with each hit.
weezing,Levitate,No,1,Evades ground moves.
weezing,Neutralizing Gas,No,2,Neutralizes abilities of all Pokémon in battle.
weezing,Stench,Yes,3,Has a 10% chance of making target Pokémon flinch with each hit.
rhyhorn,Lightning Rod,No,1,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
rhyhorn,Rock Head,No,2,Protects against recoil damage.
rhyhorn,Reckless,Yes,3,Strengthens recoil moves to 1.2× their power.
rhydon,Lightning Rod,No,1,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
rhydon,Rock Head,No,2,Protects against recoil damage.
rhydon,Reckless,Yes,3,Strengthens recoil moves to 1.2× their power.
chansey,Natural Cure,No,1,Cures any major status ailment upon switching out.
chansey,Serene Grace,No,2,Doubles the chance of moves' extra effects occurring.
chansey,Healer,Yes,3,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
tangela,Chlorophyll,No,1,Doubles Speed during strong sunlight.
tangela,Leaf Guard,No,2,Protects against major status ailments during strong sunlight.
tangela,Regenerator,Yes,3,Heals for 1/3 max HP upon switching out.
kangaskhan,Early Bird,No,1,Makes sleep pass twice as quickly.
kangaskhan,Scrappy,No,2,Lets the Pokémon's normal and fighting moves hit ghost Pokémon.
kangaskhan,Inner Focus,Yes,3,Prevents flinching.
horsea,Swift Swim,No,1,Doubles Speed during rain.
horsea,Sniper,No,2,Strengthens critical hits to inflict 3× damage rather than 2×.
horsea,Damp,Yes,3,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
seadra,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
seadra,Sniper,No,2,Strengthens critical hits to inflict 3× damage rather than 2×.
seadra,Damp,Yes,3,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
goldeen,Swift Swim,No,1,Doubles Speed during rain.
goldeen,Water Veil,No,2,Prevents burns.
goldeen,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
seaking,Swift Swim,No,1,Doubles Speed during rain.
seaking,Water Veil,No,2,Prevents burns.
seaking,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
staryu,Illuminate,No,1,Doubles the wild encounter rate.
staryu,Natural Cure,No,2,Cures any major status ailment upon switching out.
staryu,Analytic,Yes,3,Strengthens moves to 1.3× their power when moving last.
starmie,Illuminate,No,1,Doubles the wild encounter rate.
starmie,Natural Cure,No,2,Cures any major status ailment upon switching out.
starmie,Analytic,Yes,3,Strengthens moves to 1.3× their power when moving last.
mr-mime,Soundproof,No,1,Protects against sound-based moves.
mr-mime,Filter,No,2,Decreases damage taken from super-effective moves by 1/4.
mr-mime,Technician,Yes,3,Strengthens moves of 60 base power or less to 1.5× their power.
scyther,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
scyther,Technician,No,2,Strengthens moves of 60 base power or less to 1.5× their power.
scyther,Steadfast,Yes,3,Raises Speed one stage upon flinching.
jynx,Oblivious,No,1,Prevents infatuation and protects against captivate.
jynx,Forewarn,No,2,Reveals the opponents' strongest move upon entering battle.
jynx,Dry Skin,Yes,3,"Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP."
electabuzz,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
electabuzz,Vital Spirit,Yes,3,Prevents sleep.
magmar,Flame Body,No,1,Has a 30% chance of burning attacking Pokémon on contact.
magmar,Vital Spirit,Yes,3,Prevents sleep.
pinsir,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
pinsir,Mold Breaker,No,2,Bypasses targets' abilities if they could hinder or prevent a move.
pinsir,Moxie,Yes,3,Raises Attack one stage upon KOing a Pokémon.
tauros,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
tauros,Anger Point,No,2,Raises Attack to the maximum of six stages upon receiving a critical hit.
tauros,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
magikarp,Swift Swim,No,1,Doubles Speed during rain.
magikarp,Rattled,Yes,3,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
gyarados,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
gyarados,Moxie,Yes,3,Raises Attack one stage upon KOing a Pokémon.
lapras,Water Absorb,No,1,"Absorbs water moves, healing for 1/4 max HP."
lapras,Shell Armor,No,2,Protects against critical hits.
lapras,Hydration,Yes,3,Cures any major status ailment after each turn during rain.
ditto,Limber,No,1,Prevents paralysis.
ditto,Imposter,Yes,3,Transforms upon entering battle.
eevee,Run Away,No,1,Ensures success fleeing from wild battles.
